Num_page;URL;Status_HTTP;Nb Retry;Nb_Products
73;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=73;200;2;12
74;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=74;200;1;12
75;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=75;200;2;12
76;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=76;200;1;12
77;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=77;200;1;12
78;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=78;200;1;12
79;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=79;200;3;12
80;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=80;200;3;12
81;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=81;200;1;12
82;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=82;200;1;12
83;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=83;200;1;12
84;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=84;200;1;12
85;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=85;200;1;12
86;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=86;200;2;12
87;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=87;200;1;12
88;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=88;200;2;12
89;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=89;200;2;12
90;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=90;200;4;12
91;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=91;200;2;12
92;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=92;200;1;12
93;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=93;200;3;12
94;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=94;200;3;12
95;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=95;200;1;12
96;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=96;200;5;12
97;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=97;200;2;12
98;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=98;200;1;12
99;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=99;200;4;12
100;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=100;200;1;12
101;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=101;200;2;12
102;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=102;200;3;12
103;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=103;200;1;12
104;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=104;200;1;12
105;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=105;200;1;12
106;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=106;200;1;12
107;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=107;200;1;12
108;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=108;200;7;12
109;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=109;200;1;12
110;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=110;200;2;12
111;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=111;200;1;12
112;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=112;200;1;12
113;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=113;200;2;12
114;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=114;200;1;12
115;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=115;200;1;12
116;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=116;200;1;12
117;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=117;200;1;12
118;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=118;200;3;12
119;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=119;200;4;12
120;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=120;200;1;12
121;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=121;200;2;12
122;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=122;200;2;12
123;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=123;200;2;12
124;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=124;200;3;12
125;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=125;200;1;12
126;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=126;200;1;12
127;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=127;200;3;12
128;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=128;200;4;12
129;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=129;200;2;12
130;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=130;200;2;12
131;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=131;200;2;12
132;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=132;200;1;12
133;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=133;200;3;12
134;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=134;200;1;12
135;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=135;200;2;12
136;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=136;200;3;12
137;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=137;200;1;12
138;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=138;200;1;12
139;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=139;200;1;12
140;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=140;200;1;12
141;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=141;200;1;12
142;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=142;200;3;12
143;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=143;200;1;12
144;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=144;200;1;12
145;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=145;200;1;12
146;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=146;200;1;12
147;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=147;200;1;12
148;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=148;200;3;12
149;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=149;200;1;12
150;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=150;200;4;12
151;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=151;200;1;12
152;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=152;200;1;12
153;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=153;200;1;12
154;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=154;200;1;12
155;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=155;200;1;12
156;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=156;200;1;12
157;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=157;200;5;12
158;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=158;200;1;12
159;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=159;200;1;12
160;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=160;200;3;12
161;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=161;200;2;12
162;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=162;200;2;12
163;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=163;200;1;12
164;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=164;200;3;12
165;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=165;200;1;12
166;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=166;200;1;12
167;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=167;200;3;12
168;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=168;200;3;12
169;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=169;200;6;12
170;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=170;200;3;12
171;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=171;200;1;12
172;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=172;200;1;12
173;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=173;200;3;12
174;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=174;200;1;12
175;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=175;200;1;12
176;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=176;200;1;12
177;https://www.etsy.com/fr/search?q=guirlande%20fanion%20bebe&page=177;200;3;12
